Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_PW,Tot_SC_PW,Tot_ST_PW,Tot_BC_PW,Tot_OC_PW,Tot_LW,Tot_SC_LW,Tot_ST_LW,Tot_BC_LW,Tot_OC_LW
2025,10,VIKARABAD,VIKARABAD,Dharur,1511096,Nagaram,7,0,0,6,1,1,0,0,1,0
2025,10,VIKARABAD,VIKARABAD,Dharur,1511099,Rajapur,21,5,0,14,2,4,0,0,4,0
2025,10,HYDERABAD,GOLKONDA,Asifnagar,1604152,SAYED ALI GUDA,8,0,0,0,8,7,0,0,1,6
2025,10,HYDERABAD,GOLKONDA,Asifnagar,2210279,Muradnagar,4,0,0,0,4,1,0,0,0,1
2025,10,SIDDIPET,DUBBAK,Dubbak,1701134,Dubbak-12,4,0,0,4,0,1,0,0,1,0
2025,10,RAJANNA-SIRICILLA,VEMULAWADA,Konaraopeta,2016130,Bavsaipeta-3,8,0,0,8,0,3,0,0,2,1
2025,10,MULUGU,ETURUNAGARAM (T),CHINTHAGUDEM,2103170,ILAPUR,4,2,2,0,0,1,0,1,0,0
2025,10,MAHABUBNAGAR,MAHABUBNAGAR (R),Jainallipur,1412024,Allipur-2,2,0,0,2,0,0,0,0,0,0
2025,10,MULUGU,ETURUNAGARAM (T),KANNAIGUDEM,2103252,Pullaneellaboru,2,0,0,2,0,5,0,0,5,0
2025,10,MAHABUBABAD ,GUDUR,Ayodyapuram,2105042,Bollepally-I,5,0,0,5,0,0,0,0,0,0
2025,10,MAHABUBABAD ,GUDUR,Ayodyapuram,2105077,Sambaiahpally,0,0,0,0,0,1,0,1,0,0
2025,10,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Urban II,2302217,Indiranagar-I,4,3,0,1,0,3,2,0,1,0
2025,10,NALGONDA,DEVARAKONDA,MUDIGONDA,2304089,Rathyanaik Thanda,2,0,2,0,0,2,0,2,0,0
2025,10,SANGAREDDY,NARAYANKHED,Anthwar,1706231,Ananth sagar,9,9,0,0,0,3,2,1,0,0
2025,10,MAHABUBNAGAR,MAHABUBNAGAR (R),Kothlabad,1412278,Venkithnada Mudari.Thanda,2,0,2,0,0,0,0,0,0,0
2025,10,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Kondamadugu,2302063,Gollagudem,5,0,0,4,1,3,0,0,3,0
2025,10,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Chikatimamidi,2302182,Devunithanda,9,0,9,0,0,1,0,1,0,0
2025,10,NALGONDA,DEVARAKONDA,NERADAGOMMU,2304386,PADAMATI THANDA-1,4,0,4,0,0,1,0,1,0,0
2025,10,NALGONDA,DEVARAKONDA,NERADAGOMMU,2304221,Mulavagu Thanda,0,0,0,0,0,2,0,2,0,0
2025,10,SANGAREDDY,NARAYANKHED,Sirgapoor,1706320,TOLYANAIK THANDA,4,0,4,0,0,3,0,3,0,0
2025,10,MEDAK,RAMAYAMPET,Yeldurthy,1708083,Yashvantharaopet,1,0,0,1,0,6,0,0,5,1
2025,10,MEDAK,RAMAYAMPET,Yeldurthy,1708085,Manepally,7,6,0,1,0,0,0,0,0,0
2025,10,RAJANNA-SIRICILLA,VEMULAWADA,chekkapali,2016002,Marripally-2,1,0,0,1,0,2,0,1,1,0
2025,10,NALGONDA,DEVARAKONDA,THURPUPALLY,2304015,K.BHEEMANAPALI - I,6,1,0,5,0,3,1,0,2,0
2025,10,JAGITYAL,JAGITYAL,beemaram,2011288,Vallampally - 3,4,0,0,4,0,3,0,0,3,0
2025,10,JAGITYAL,JAGITYAL,itkyala,2005306,Mootapally I,1,1,0,0,0,2,0,0,2,0
2025,10,WANAPARTHY,ATMAKUR,Atmakur,1403015,Atmakur 5,8,0,0,4,4,6,0,0,5,1
2025,10,NALGONDA,NAKREKAL,Kattangur,2311012,Kattangoor - II,19,3,0,15,1,4,2,0,2,0
